Date,Country,Predicted_Vaccinations
2022-03-27,Lesotho,1420914.0496976376
2022-03-28,Lesotho,1492761.7374649048
2022-03-29,Lesotho,1566740.5258715153
2022-03-30,Lesotho,1638455.235722065
2022-03-31,Lesotho,1698224.1680119038
2022-03-26,Liberia,1294856.3471400738
2022-03-27,Liberia,1493054.603932619
2022-03-28,Liberia,1745836.1005108356
2022-03-29,Liberia,2041255.1754066944
2022-03-30,Liberia,2381029.682214737
2022-03-31,Liberia,2758701.630818844
2022-03-25,Libya,3462356.465240955
2022-03-26,Libya,3466492.2930631633
2022-03-27,Libya,3471504.628149986
2022-03-28,Libya,3477359.273283481
2022-03-29,Libya,3483916.5898237224
2022-03-30,Libya,3490830.1273841853
2022-03-31,Libya,3498093.3722090716
2022-03-29,Liechtenstein,70724.82565999031
2022-03-30,Liechtenstein,70753.82678103447
2022-03-31,Liechtenstein,70793.1974401474
2022-03-30,Lithuania,4471432.385234833
2022-03-31,Lithuania,4472076.725663185
2022-03-27,Luxembourg,1291548.4206781387
2022-03-28,Luxembourg,1292440.0822911263
2022-03-29,Luxembourg,1293724.5631775856
2022-03-30,Luxembourg,1295295.992822647
2022-03-31,Luxembourg,1297073.9767575264
2022-03-29,Macao,1232087.7169568539
2022-03-30,Macao,1235881.766386509
2022-03-31,Macao,1239235.869337082
2022-03-23,Madagascar,1563974.5529512167
2022-03-24,Madagascar,1654095.942920208
2022-03-25,Madagascar,1743837.508850813
2022-03-26,Madagascar,1832302.7165122032
2022-03-27,Madagascar,1905855.4313110113
2022-03-28,Madagascar,1969890.5873029232
2022-03-29,Madagascar,2034308.681921482
2022-03-30,Madagascar,2097355.4233288765
2022-03-31,Madagascar,2158853.5914530754
2022-03-30,Malaysia,68826483.23967075
2022-03-31,Malaysia,68854128.8174187
2022-03-26,Mali,2132111.5761464834
2022-03-27,Mali,2259575.3909146786
2022-03-28,Mali,2395000.8222335577
2022-03-29,Mali,2527941.235717535
2022-03-30,Mali,2637559.2006736994
2022-03-31,Mali,2747953.3149176836
2022-03-29,Malta,1260174.3461260793
2022-03-30,Malta,1260702.4914281366
2022-03-31,Malta,1261378.6538634298
2022-03-22,Mauritania,2732278.4518500566
2022-03-23,Mauritania,2753813.826437831
2022-03-24,Mauritania,2775735.3525699377
2022-03-25,Mauritania,2797089.975371003
2022-03-26,Mauritania,2818630.4059528112
2022-03-27,Mauritania,2839655.7571424246
2022-03-28,Mauritania,2860620.436403632
2022-03-29,Mauritania,2880270.5572160482
2022-03-30,Mauritania,2899344.926707864
2022-03-31,Mauritania,2917632.457128167
2022-03-30,Mexico,192372085.08150482
2022-03-31,Mexico,192719149.80373573
2022-03-30,Moldova,2116415.2681319118
2022-03-31,Moldova,2117081.4254781604
2022-03-30,Mongolia,5426516.064478159
2022-03-31,Mongolia,5423531.291726828
2022-03-30,Montenegro,667863.5174692869
2022-03-31,Montenegro,667967.8274760246
2022-03-26,Montserrat,4103.726676940918
2022-03-27,Montserrat,4192.206486463547
2022-03-28,Montserrat,4253.47992670536
2022-03-29,Montserrat,4298.230355620384
