iter	Passed	Remaining
849	2697916	476102
850	2701294	472964
851	2704601	469813
852	2707978	466673
853	2711350	463532
854	2714585	460368
855	2717971	457228
856	2721186	454060
857	2724373	450886
858	2727652	447728
859	2730996	444580
860	2734420	441445
861	2737783	438299
862	2741180	435158
863	2744482	432001
864	2747792	428846
865	2751088	425688
866	2754374	422528
867	2757687	419371
868	2761120	416233
869	2764368	413066
870	2767560	409891
871	2770913	406739
872	2774195	403577
873	2777374	400399
874	2780540	397220
875	2783704	394040
876	2786986	390877
877	2790319	387720
878	2793522	384546
879	2796820	381384
880	2800140	378225
881	2803539	375076
882	2806744	371901
883	2809933	368724
884	2813101	365544
885	2816279	362365
886	2819457	359186
887	2822618	356005
888	2825777	352824
889	2829074	349660
890	2832248	346481
891	2835438	343304
892	2838619	340125
893	2841787	336945
894	2844941	333764
895	2848102	330583
896	2851258	327402
897	2854418	324221
898	2857577	321040
899	2860732	317859
900	2863891	314678
901	2867053	311498
902	2870220	308318
903	2873380	305137
904	2876541	301957
905	2879698	298776
906	2882878	295598
907	2886063	292420
908	2889221	289239
909	2892382	286059
910	2895542	282879
911	2898719	279701
912	2901876	276520
913	2905033	273340
914	2908272	270167
915	2911421	266986
916	2914577	263805
917	2917735	260625
918	2920887	257444
919	2924046	254264
920	2927205	251084
921	2930351	247903
922	2933528	244725
923	2936696	241546
924	2939855	238366
925	2943021	235187
926	2946197	232009
927	2949396	228832
928	2952572	225654
929	2955885	222485
930	2959065	219307
931	2962234	216128
932	2965389	212948
933	2968550	209769
934	2971712	206589
935	2974896	203411
936	2978051	200231
937	2981208	197052
938	2984353	193871
939	2987520	190692
940	2990671	187512
941	2993836	184333
942	2997007	181155
943	3000174	177976
944	3003342	174797
945	3006509	171618
946	3009671	168439
947	3012836	165261
948	3015992	162081
949	3019165	158903
950	3022326	155724
951	3025487	152545
952	3028644	149366
953	3031806	146187
954	3035041	143012
955	3038313	139838
956	3041582	136664
957	3044846	133490
958	3048035	130312
959	3051412	127142
960	3055305	123992
961	3059065	120836
962	3062620	117670
963	3065827	114491
964	3069006	111311
965	3072179	108130
966	3075344	104949
967	3078542	101769
968	3081719	98589
969	3084885	95408
970	3088057	92228
971	3091217	89047
972	3094384	85866
973	3097618	82687
974	3100839	79508
975	3104048	76329
976	3107287	73150
977	3110473	69969
978	3113648	66789
979	3116819	63608
980	3120004	60428
981	3123182	57247
982	3126357	54067
983	3129554	50887
984	3132802	47707
985	3135986	44527
986	3139159	41346
987	3142381	38166
988	3145551	34985
989	3148749	31805
990	3151911	28624
991	3155076	25444
992	3158290	22263
993	3161534	19083
994	3164833	15903
995	3168004	12722
996	3171165	9542
997	3174322	6361
998	3177495	3180
999	3180666	0
